homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
19,5,10,14,18,22,20,0,0,0,0,1,19,20,5,11010,5,3,141,34,110329,5,5,0,32,0,9,0,2,0,9,3,5,36
33,1,13,16,24,31,46,0,0,0,0,0,19,19,5,2120,5,3,142,34,111235,5,5,0,29,0,12,0,2,0,9,3,2,46
23,3,33,7,20,25,20,0,0,0,0,0,19,19,3,10110,3,8,143,34,112172,1,5,0,51,0,3,0,2,0,6,6,6,43
20,3,44,2,34,24,46,0,0,0,0,0,19,20,6,10220,6,8,144,34,28,6,8,0,59,0,2,0,2,0,5,4,7,56
22,9,34,7,22,33,46,0,0,0,0,0,20,20,8,2120,3,9,145,34,29,7,6,0,53,0,3,0,2,0,8,3,5,36
18,11,33,1,20,20,66,0,0,0,0,0,19,20,6,20122,6,9,146,34,31,6,9,0,61,0,4,0,0,0,5,3,4,66
35,17,31,14,21,27,6,0,0,0,0,0,20,20,5,10000,5,6,147,34,34,3,4,0,38,0,8,0,2,0,8,5,3,26
30,12,26,13,19,29,26,0,0,0,0,0,20,20,3,12,3,6,148,34,165,3,4,0,39,0,6,0,0,0,9,4,5,23
24,18,20,11,29,27,53,0,0,0,0,0,20,20,3,21201,3,4,149,34,166,5,8,0,44,0,8,0,1,0,6,3,5,60
28,14,30,10,30,29,26,0,0,0,0,0,20,20,3,1002,3,8,150,34,171,3,6,0,48,0,7,0,0,0,7,4,2,43
15,10,23,9,18,21,53,0,0,0,0,0,20,20,3,2211,3,8,151,34,485,3,5,0,51,0,2,0,1,0,7,5,7,43
17,20,17,15,23,26,53,0,0,0,0,0,20,2076,5,1221,5,4,152,34,531,5,4,0,36,0,6,0,1,0,8,5,7,43
19,17,14,18,9,52,20,0,0,0,0,0,20,2076,5,1110,5,6,153,34,543,5,0,0,25,0,6,0,2,0,15,2,5,33
25,1,39,3,25,12,73,0,0,0,0,0,20,20,7,11222,7,9,154,34,580,8,7,0,58,0,5,0,0,0,3,7,3,63
24,7,31,8,26,31,73,0,0,0,0,0,20,20,3,22112,3,9,155,34,1832,3,5,0,52,0,4,0,0,0,6,6,4,53
23,6,30,4,26,23,66,0,0,0,0,0,20,20,8,21220,8,8,156,34,10030,8,7,0,55,0,6,0,2,0,3,7,3,46
22,17,21,17,15,26,26,0,0,0,0,1,20,2076,5,2001,5,4,157,34,110176,5,2,0,30,0,8,0,1,0,8,7,5,36
26,15,22,16,16,38,33,0,0,0,0,0,20,20,5,21100,5,6,158,34,110500,5,2,0,35,0,6,0,2,0,9,6,5,43
20,2,29,12,27,35,46,0,0,0,0,0,20,19,3,21002,3,8,159,34,110502,3,3,0,42,0,5,0,0,0,9,5,4,46
29,11,28,5,36,23,46,0,0,0,0,0,20,20,8,21002,8,5,160,34,110588,8,9,0,53,0,5,0,0,0,4,4,7,40
27,4,29,6,28,25,40,0,0,0,0,0,20,20,8,11120,8,7,161,34,110636,3,7,0,53,0,5,0,2,0,4,6,5,50
15,7,31,4,27,20,73,0,0,0,0,0,31,31,1,21122,1,11,162,38,45,2,7,0,70,0,1,0,0,0,3,9,7,60
13,10,32,1,27,14,73,0,0,0,0,0,31,31,0,22112,0,14,163,38,48,1,10,0,82,0,2,0,0,0,2,7,3,73
28,4,25,16,19,30,33,0,0,0,0,1,31,32,5,10012,5,5,164,38,50,5,2,0,36,0,8,0,0,0,8,9,6,40
15,5,37,5,19,20,80,0,0,0,0,0,31,31,2,22022,2,13,165,38,52,2,7,0,69,0,4,0,0,0,5,7,2,76
18,10,17,11,22,27,6,0,0,0,0,0,31,31,3,1000,3,6,166,38,54,3,4,0,44,0,6,0,2,0,8,7,7,30
27,12,22,12,19,29,26,0,0,0,0,0,31,31,3,12000,3,7,167,38,55,3,5,0,44,0,9,0,2,0,9,5,3,13
18,9,33,9,24,29,13,0,0,0,0,0,31,31,3,11000,3,10,168,38,189,1,6,0,62,0,2,0,2,0,6,7,7,40
